ID,school,creche,gender,asidlale,age_months,year,cut,stick,follow_instruct,self_pic,matching,draw_lines,hop,playdough,wooden_puzz,six_puzz,clapping,classification,lacing,peg_cards,five_puzz,dance_freeze,laminated_shape,beanbag,score14
73,Mabane,Nakekelo,M,1,52,2014,2,3,2,2,3,3,3,2,3,3,3,3,3,3,,,,,38
74,Mabane,Sbukosezwe,M,1,54,2014,2,3,3,3,3,3,3,2,3,3,3,3,2,3,,,,,39
75,Mabane,Nakekelo,M,1,52,2014,2,3,3,2,2,2,2,2,3,1,2,2,3,3,,,,,32
76,Nobanda,Raphs,F,1,53,2014,3,3,3,3,2,2,2,3,3,2,3,3,2,2,,,,,36
77,Nobanda,kwaNomusa,F,1,51,2014,3,1,2,2,1,1,3,2,3,2,3,2,2,3,,,,,30
78,Nobanda,kwaNomusa,F,1,57,2014,2,3,3,2,2,1,2,2,3,1,3,1,2,1,,,,,28
79,Nobanda,kwaNomusa,F,1,55,2014,3,3,3,2,2,3,3,2,3,1,2,3,3,3,,,,,36
80,Nobanda,kwaNomusa,F,1,55,2014,3,3,3,3,2,3,3,2,3,2,3,3,3,2,,,,,38
81,Nobanda,Raphs,F,1,51,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,42
82,Nobanda,Raphs,F,1,51,2014,2,3,3,2,2,1,2,2,3,3,1,2,2,2,,,,,30
83,Nobanda,Raphs,F,1,62,2014,1,3,3,3,2,3,3,2,3,3,2,2,2,3,,,,,35
84,Nobanda,Raphs,M,1,58,2014,1,1,1,1,1,1,2,2,3,3,1,2,2,1,,,,,22
85,Nobanda,kwaNomusa,M,1,57,2014,3,2,3,2,3,3,3,3,3,3,2,3,2,3,,,,,38
86,Nobanda,Raphs,M,1,63,2014,3,3,3,3,3,3,3,3,3,3,3,2,2,3,,,,,40
87,Nobanda,Raphs,M,1,75,2014,3,3,3,2,2,2,3,2,3,3,1,2,3,2,,,,,34
88,Nobanda,kwaNomusa,M,1,60,2014,2,3,1,1,1,3,3,1,3,3,1,1,2,2,,,,,27
89,Nobanda,Raphs,M,1,57,2014,2,3,1,2,2,1,1,1,1,3,3,3,2,2,,,,,27
90,Nobanda,Raphs,M,1,58,2014,3,3,1,3,3,2,3,3,1,3,2,3,2,3,,,,,35
91,Mabane,none,F,0,58,2014,2,3,2,2,1,1,2,1,1,1,1,1,1,3,,,,,22
92,Mabane,none,F,0,60,2014,2,3,3,2,1,3,2,2,3,2,3,3,1,3,,,,,33
93,Mabane,none,F,0,54,2014,2,3,3,3,3,3,1,2,3,1,2,3,1,3,,,,,33
94,Mabane,none,F,0,65,2014,1,3,2,3,2,1,3,2,2,2,1,1,2,1,,,,,26
95,Mabane,none,M,0,55,2014,1,3,2,2,3,3,3,3,3,1,2,3,2,3,,,,,34
96,Mabane,none,M,0,62,2014,1,2,2,1,1,3,3,2,3,1,3,3,2,3,,,,,30
97,Mabane,none,M,0,52,2014,1,3,3,3,2,3,1,3,2,2,1,3,2,3,,,,,32
98,Mabane,none,M,0,56,2014,1,1,2,2,1,2,2,1,2,1,1,1,2,1,,,,,20
99,Mabane,none,M,0,60,2014,1,2,1,2,1,1,1,1,1,1,2,1,1,1,,,,,17
100,Mabane,none,M,0,60,2014,1,2,1,1,1,1,2,1,1,1,1,1,2,2,,,,,18
101,Mabane,Thinasonke,M,0,52,2014,2,3,2,2,1,3,2,2,2,1,2,3,2,3,,,,,30
102,Nobanda,none,F,0,52,2014,3,3,3,3,1,3,1,3,2,1,3,1,2,1,,,,,30
103,Nobanda,none,F,0,72,2014,1,2,1,3,3,2,3,1,1,1,3,1,2,3,,,,,27
104,Nobanda,Elimi,F,0,59,2014,2,3,2,3,2,3,3,2,2,3,3,3,2,3,,,,,36
105,Nobanda,Dutch,F,0,64,2014,1,3,2,2,2,3,2,2,2,1,3,2,2,3,,,,,30
106,Nobanda,Dutch,F,0,61,2014,3,3,2,3,3,3,2,3,3,3,3,3,3,3,,,,,40
107,Nobanda,Dutch,F,0,58,2014,2,2,3,2,3,2,3,3,2,2,2,1,3,3,,,,,33
108,Nobanda,Dutch,F,0,59,2014,2,1,3,2,3,3,3,2,2,1,3,2,2,3,,,,,32
109,Nobanda,Dutch,M,0,57,2014,3,2,3,3,3,3,1,3,2,2,2,3,2,3,,,,,35
110,Nobanda,Dutch,M,0,58,2014,2,3,2,1,3,2,3,2,1,1,2,1,2,3,,,,,28
111,Nobanda,Dutch,M,0,54,2014,2,3,3,2,3,3,2,2,2,1,1,3,2,3,,,,,32
112,Nobanda,none,M,0,60,2014,2,3,1,2,2,3,2,2,2,1,3,1,2,2,,,,,28
113,Nobanda,none,M,0,65,2014,3,3,2,3,3,1,2,1,3,1,1,3,1,1,,,,,28
114,Nobanda,Dutch,M,0,65,2014,2,3,1,3,3,3,3,2,3,1,2,1,1,1,,,,,29
115,Nobanda,Dutch,M,0,54,2014,2,3,1,2,3,3,1,2,1,1,1,1,1,2,,,,,24
116,Nobanda,Dutch,M,0,49,2014,3,3,1,2,3,2,3,2,1,1,1,3,1,2,,,,,28
117,Mabane,Sbukosezwe,F,1,60,2015,1,,3,2,3,3,3,1,,,2,3,2,,1,3,1,2,30
118,Mabane,Sbukosezwe,F,1,54,2015,1,,3,1,2,2,3,2,,,2,1,1,,1,3,1,2,25
119,Mabane,Unakekelo,F,1,52,2015,1,,3,3,3,3,3,1,,,3,3,1,,1,3,1,2,31
